Date,City,Country,Sex,HillSize,RaceType,TeamEvent,Event,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Leg,Length1,Length2,Points,Pelo,Elo,pred_Pelo,pred_Elo
2023-03-19,Vikersund,Norway,L,240,Flying,0,Special Event,1,Ema Klinec,Slovenia,89,2023,54,1998-07-02T00:00:00.000000,24.711841204654345,183,0,0.0,0.0,414.7,,,1300.0,1300.0
2023-03-19,Vikersund,Norway,L,240,Flying,0,Special Event,2,Silje Opseth,Norway,221,2023,54,1999-04-28T00:00:00.000000,23.890485968514717,177,0,0.0,0.0,373.7,,,1300.0,1300.0
2023-03-19,Vikersund,Norway,L,240,Flying,0,Special Event,3,Yuki Ito,Japan,5,2023,54,1994-05-10T00:00:00.000000,28.856947296372347,331,0,0.0,0.0,352.6,,,1300.0,1300.0
2023-03-19,Vikersund,Norway,L,240,Flying,0,Special Event,4,Katharina Schmid,Germany,13,2023,54,1996-05-23T00:00:00.000000,26.819986310746064,280,0,0.0,0.0,347.4,,,1300.0,1300.0
2023-03-19,Vikersund,Norway,L,240,Flying,0,Special Event,5,Alexandria Loutitt,Canada,417,2023,54,2004-01-07T00:00:00.000000,19.195071868583163,45,0,0.0,0.0,339.5,,,1300.0,1300.0
2023-03-19,Vikersund,Norway,L,240,Flying,0,Special Event,6,Maren Lundby,Norway,9,2023,54,1994-09-07T00:00:00.000000,28.528405201916495,273,0,0.0,0.0,328.0,,,1300.0,1300.0
2023-03-19,Vikersund,Norway,L,240,Flying,0,Special Event,7,Nika Vodan,Slovenia,266,2023,54,2000-03-09T00:00:00.000000,23.025325119780973,169,0,0.0,0.0,320.8,,,1300.0,1300.0
2023-03-19,Vikersund,Norway,L,240,Flying,0,Special Event,8,Abigail Strate,Canada,289,2023,54,2001-02-22T00:00:00.000000,22.067077344284737,93,0,0.0,0.0,310.2,,,1300.0,1300.0
2023-03-19,Vikersund,Norway,L,240,Flying,0,Special Event,9,Eva Pinkelnig,Austria,14,2023,54,1988-05-27T00:00:00.000000,34.809034907597535,151,0,0.0,0.0,303.8,,,1300.0,1300.0
2023-03-19,Vikersund,Norway,L,240,Flying,0,Special Event,10,Selina Freitag,Germany,338,2023,54,2001-05-19T00:00:00.000000,21.831622176591374,108,0,0.0,0.0,298.2,,,1300.0,1300.0
2023-03-19,Vikersund,Norway,L,240,Flying,0,Special Event,11,Chiara Kreuzer,Austria,21,2023,54,1997-07-18T00:00:00.000000,25.66735112936345,232,0,0.0,0.0,270.5,,,1300.0,1300.0
2023-03-19,Vikersund,Norway,L,240,Flying,0,Special Event,12,Anna Odine Strøm,Norway,44,2023,54,1998-04-17T00:00:00.000000,24.919917864476385,187,0,0.0,0.0,261.8,,,1300.0,1300.0
